created_at,date,user_id,username,name,tweet,link,tweet_preproc,Label
1656540349000.0,2022-06-30 05:05:49,971046093331943424,budiwidagdo2,#berusaha jujur dan lurus,pelanggaran protokol kesehatan tempat jin buang anak stupa dll alasan konyol cuman alasan di cari cari buat kriminalisasi dan bungkam tokoh kritis paling ditakuti rejim ini,https://twitter.com/budiwidagdo2/status/1542268126049357825,"['langgar', 'protokol', 'sehat', 'tempat', 'jin', 'buang', 'anak', 'stupa', 'dan lain lain', 'alas', 'konyol', 'cuman', 'alas', 'di', 'cari', 'cari', 'buat', 'kriminalisasi', 'dan', 'bungkam', 'tokoh', 'kritis', 'paling', 'takut', 'rejim', 'ini']",1
1656324258000.0,2022-06-27 17:04:18,1204035194589569024,txtdrbuih,🇮🇩Kura-Kura Bahtera🇲🇨,kenapa tempohari beberapa pelanggaran protokol kesehatan gak dihitung sebagai kronologi pelanggaran gak habis pikir dengan pemprov ini,https://twitter.com/txtdrbuih/status/1541361772195508224,"['kenapa', 'tempohari', 'beberapa', 'langgar', 'protokol', 'sehat', 'tidak', 'hitung', 'bagai', 'kronologi', 'langgar', 'tidak', 'habis', 'pikir', 'dengan', 'pemprov', 'ini']",1
1656322649000.0,2022-06-27 16:37:29,1204035194589569024,txtdrbuih,🇮🇩Kura-Kura Bahtera🇲🇨,selain pelanggaran promo miras holycw juga melakukan pelanggaran protokol kesehatan pada saat pandemi kenapa pemprov terlalu berhatihati,https://twitter.com/txtdrbuih/status/1541355024076353536,"['selain', 'langgar', 'promo', 'miras', 'holycw', 'juga', 'laku', 'langgar', 'protokol', 'sehat', 'pada', 'saat', 'pandemi', 'kenapa', 'pemprov', 'terlalu', 'berhatihati']",1
1656314550000.0,2022-06-27 14:22:30,1439827982734938113,PeloporMedia,BERITA PELOPOR.net,minimalisir pelanggaran anggota piket provos cek personel jajaran dan ingatkan protokol kesehatan,https://twitter.com/PeloporMedia/status/1541321053984772101,"['minimalisir', 'langgar', 'anggota', 'piket', 'provos', 'cek', 'personel', 'jajar', 'dan', 'ingat', 'protokol', 'sehat']",0
1656311856000.0,2022-06-27 13:37:36,1439827982734938113,PeloporMedia,BERITA PELOPOR.net,minimalisir pelanggaran anggota piket provos cek personel jajaran dan ingatkan protokolkesehatan,https://twitter.com/PeloporMedia/status/1541309754370392064,"['minimalisir', 'langgar', 'anggota', 'piket', 'provos', 'cek', 'personel', 'jajar', 'dan', 'ingat', 'protokolkesehatan']",0
1656311277000.0,2022-06-27 13:27:57,1307879799231148032,tmcbadung,Satlantas Res Badung,personil satlantas polres badung melaksanakan pemeriksaan dan penindakan pelanggaran tanpa helm sni di simpang sempidi dihimbau kepada pengguna jalan untuk selalu mematuhi tata tertib berlalu lintas dan selalu patuhi protokol kesehatan,https://twitter.com/tmcbadung/status/1541307325838987267,"['personil', 'satlantas', 'polres', 'badung', 'laksana', 'periksa', 'dan', 'tindak', 'langgar', 'tanpa', 'helm', 'sni', 'di', 'simpang', 'sempidi', 'dihimbau', 'kepada', 'guna', 'jalan', 'untuk', 'selalu', 'patuh', 'tata', 'tertib', 'lalu', 'lintas', 'dan', 'selalu', 'patuh', 'protokol', 'sehat']",0
1656311068000.0,2022-06-27 13:24:28,1307879799231148032,tmcbadung,Satlantas Res Badung,personil satlantas polres badung melaksanakan pemeriksaan dan penindakan pelanggaran tanpa helm sni di simp sempidi dihimbau kepada pengguna jalan untuk selalu mematuhi rambu lalu lintas dan selalu patuhi protokol kesehatan,https://twitter.com/tmcbadung/status/1541306450072727552,"['personil', 'satlantas', 'polres', 'badung', 'laksana', 'periksa', 'dan', 'tindak', 'langgar', 'tanpa', 'helm', 'sni', 'di', 'simp', 'sempidi', 'dihimbau', 'kepada', 'guna', 'jalan', 'untuk', 'selalu', 'patuh', 'rambu', 'lalu', 'lintas', 'dan', 'selalu', 'patuh', 'protokol', 'sehat']",0
1656064247000.0,2022-06-24 16:50:47,14951080,imronbiz,B o î m,semua sdh bebas tak bermasker tak ada pandemi kenapa hrs tak segera dibebaskan krn tak ada salahnya kecuali dugaan pelanggaran protokol kesehatan lain cerita kalo masalah politik hingga hrs blm bebas juga,https://twitter.com/imronbiz/status/1540271206141550593,"['semua', 'sudah', 'bebas', 'tak', 'masker', 'tak', 'ada', 'pandemi', 'kenapa', 'hrs', 'tak', 'segera', 'bebas', 'karena', 'tak', 'ada', 'salah', 'kecuali', 'duga', 'langgar', 'protokol', 'sehat', 'lain', 'cerita', 'kalau', 'masalah', 'politik', 'hingga', 'hrs', 'belum', 'bebas', 'juga']",1
1655969015000.0,2022-06-23 14:23:35,1021212705728868352,kanim_tual,KANTOR IMIGRASI KELAS II TPI TUAL,kedua penumpang tidak masuk dalam daftar cekal dan tidak ditemukan pelanggaran keimigrasian petugas melaksanakan pemeriksaan dengan tetap menjalankan protokol kesehatan untuk mencegah penyebaran virus covid,https://twitter.com/kanim_tual/status/1539871778100502528,"['dua', 'tumpang', 'tidak', 'masuk', 'dalam', 'daftar', 'cekal', 'dan', 'tidak', 'temu', 'langgar', 'imigrasi', 'tugas', 'laksana', 'periksa', 'dengan', 'tetap', 'jalan', 'protokol', 'sehat', 'untuk', 'cegah', 'sebar', 'virus', 'covid']",0
1655795702000.0,2022-06-21 14:15:02,1249904572862042112,blitarlantas,Polantas Blitar Mengabdi,penegakan protokol kesehatan dalam rangkaian kegiatan rutin yang ditingkatkan anggota sat lantas polres blitar melaksanakan pembagian masker dan himbauan protokol kesehatan kepada masyarakat kabupaten blitar stop pelanggaran stop kecelakaan,https://twitter.com/blitarlantas/status/1539144846597689344,"['tega', 'protokol', 'sehat', 'dalam', 'rangkai', 'giat', 'rutin', 'yang', 'tingkat', 'anggota', 'sat', 'lantas', 'polres', 'blitar', 'laksana', 'bagi', 'masker', 'dan', 'himbauan', 'protokol', 'sehat', 'kepada', 'masyarakat', 'kabupaten', 'blitar', 'stop', 'langgar', 'stop', 'celaka']",0
