created_at,date,user_id,username,name,tweet,link,tweet_preproc,Label
1648171041000.0,2022-03-25 08:17:21,215099720,bdleonanda,Ir. Benny Dwika Leonanda,ada upaya membentuk namanama baru dengan menggabungkan nama varianvarian sebelumnya seperti delmicron son of omicron dan namanama lainnya tapi itu adalah nama nonformal dan tidak diakui secara saintifik atau formal,https://twitter.com/bdleonanda/status/1507164703373807617,"['ada', 'upaya', 'bentuk', 'namanama', 'baru', 'dengan', 'gabung', 'nama', 'varianvarian', 'belum', 'seperti', 'delmicron', 'son', 'of', 'omicron', 'dan', 'namanama', 'lain', 'tapi', 'itu', 'adalah', 'nama', 'nonformal', 'dan', 'tidak', 'aku', 'cara', 'saintifik', 'atau', 'formal']",0
1648157915000.0,2022-03-25 04:38:35,231355136,SINDOnews,SINDOnews,tidak mengkhawatirkan menkes budi gunadi sebut delmicron seperti varian lambda,https://twitter.com/SINDOnews/status/1507109646548742146,"['tidak', 'khawatir', 'menkes', 'budi', 'gunadi', 'sebut', 'delmicron', 'seperti', 'varian', 'lambda']",0
1648035391000.0,2022-03-23 18:36:31,2656544672,mrchezzy,ᴊᴏɴ sɴᴏᴡ,ada varian delmicron si delta ama si omicron seks bebas gitu,https://twitter.com/mrchezzy/status/1506595745272532992,"['ada', 'varian', 'delmicron', 'si', 'delta', 'ama', 'si', 'omicron', 'seks', 'bebas', 'gitu']",0
1647868231000.0,2022-03-21 20:10:31,86487030,nadiarlinda,four leaf clover,wkwkwkwk tapi tapi kentutku kan bau vanilla jadi sedih kemarin ga bisa cium varian delmicron keknya cit aamiin citraa jugaa sehat yaa jangan sampe sakit lagii,https://twitter.com/nadiarlinda/status/1505894626804133888,"['wkwkwkwk', 'tapi', 'tapi', 'kentut', 'kan', 'bau', 'vanilla', 'jadi', 'sedih', 'kemarin', 'tidak', 'bisa', 'cium', 'varian', 'delmicron', 'kek', 'cit', 'aamiin', 'citraa', 'jugaa', 'sehat', 'yaa', 'jangan', 'sampe', 'sakit', 'lagi']",0
1647669991000.0,2022-03-19 13:06:31,1495036394947112961,MediaStatera,Statera Media siber,menkes budi gunadi jelaskan delmicron seperti varian lambda tidak mengkhawatirkan via,https://twitter.com/MediaStatera/status/1505063144624123904,"['menkes', 'budi', 'gunadi', 'jelas', 'delmicron', 'seperti', 'varian', 'lambda', 'tidak', 'khawatir', 'via']",0
1647525961000.0,2022-03-17 21:06:01,1324188902345748480,TempoeDoeloee,Tempoe Doeloe,delmicron yang tadinya disebutsebut sebagai gabungan dari varian delta dan varian omicron ternyata tidak benar,https://twitter.com/TempoeDoeloee/status/1504459041916932101,"['delmicron', 'yang', 'tadi', 'disebutsebut', 'bagai', 'gabung', 'dari', 'varian', 'delta', 'dan', 'varian', 'omicron', 'nyata', 'tidak', 'benar']",0
1647525581000.0,2022-03-17 20:59:41,1264855698514436096,Anak_Senja90,Anak_Senja90,delmicron yang tadinya disebutsebut sebagai gabungan dari varian delta dan varian omicron ternyata tidak benar,https://twitter.com/Anak_Senja90/status/1504457446353301507,"['delmicron', 'yang', 'tadi', 'disebutsebut', 'bagai', 'gabung', 'dari', 'varian', 'delta', 'dan', 'varian', 'omicron', 'nyata', 'tidak', 'benar']",0
1647247928000.0,2022-03-14 15:52:08,84070879,DivAlFrmn,Diva Alfirman,dulu bukannya dibilang ada varian delmicron tapi ternyata ga sepenuhnya bener ya soalnya virus tuh ga bisa bergabung dan kawin segampang itu ah sudahlah,https://twitter.com/DivAlFrmn/status/1503292884962852867,"['dulu', 'bukan', 'bilang', 'ada', 'varian', 'delmicron', 'tapi', 'nyata', 'tidak', 'sepenuh', 'bener', 'ya', 'soal', 'virus', 'itu', 'tidak', 'bisa', 'gabung', 'dan', 'kawin', 'gampang', 'itu', 'ah', 'sudah']",0
1647237156000.0,2022-03-14 12:52:36,1286499571649003522,AurelNovelia,Aurel Novelia,delmicron yang tadinya disebutsebut sebagai gabungan dari varian delta dan varian omicron ternyata tidak benar agever,https://twitter.com/AurelNovelia/status/1503247704394452996,"['delmicron', 'yang', 'tadi', 'disebutsebut', 'bagai', 'gabung', 'dari', 'varian', 'delta', 'dan', 'varian', 'omicron', 'nyata', 'tidak', 'benar', 'agever']",0
1646926536000.0,2022-03-10 22:35:36,45809508,lindaikhsana,Linda Ikhsana,setiap baca berita tentang varian baru muncul selalu terselip dalam hati akankah aku bisa selamat melewati masa ini semoga kmu bukan varian baru ya delmicron,https://twitter.com/lindaikhsana/status/1501944868628615172,"['tiap', 'baca', 'berita', 'tentang', 'varian', 'baru', 'muncul', 'selalu', 'selip', 'dalam', 'hati', 'akan', 'aku', 'bisa', 'selamat', 'lewat', 'masa', 'ini', 'moga', 'kmu', 'bukan', 'varian', 'baru', 'ya', 'delmicron']",0
1645640117000.0,2022-02-24 01:15:17,979394827,kalangi_lody,Lody Kalangi,aneh ini penyakit mungkin varian baru dri psikopat bermutasi kyak corona delmicron kali ya,https://twitter.com/kalangi_lody/status/1496549237735440385,"['aneh', 'ini', 'sakit', 'mungkin', 'varian', 'baru', 'dri', 'psikopat', 'mutasi', 'kyak', 'corona', 'delmicron', 'kali', 'ya']",0
1645157479000.0,2022-02-18 11:11:19,142305302,tribunmedan,Tribun Medan,ada lagi delmicron varian baru gabungan varian delta dan omicron begini temuan ahli medis via,https://twitter.com/tribunmedan/status/1494524905290821635,"['ada', 'lagi', 'delmicron', 'varian', 'baru', 'gabung', 'varian', 'delta', 'dan', 'omicron', 'begini', 'temu', 'ahli', 'medis', 'via']",0
1645031467000.0,2022-02-17 00:11:07,1172187847224225792,nrhveeva,🧚🏽‍♀️,ini ada virus varian baru delmicron perkawinan antara delta dan omicron ini yang jadi wo siapa,https://twitter.com/nrhveeva/status/1493996374714904577,"['ini', 'ada', 'virus', 'varian', 'baru', 'delmicron', 'kawin', 'antara', 'delta', 'dan', 'omicron', 'ini', 'yang', 'jadi', 'wo', 'siapa']",0
1644876143000.0,2022-02-15 05:02:23,1407926928397389828,arini_rizka,Rizka Arini,pakar tetap waspadai varian omicron meski gejalanya ringan,https://twitter.com/arini_rizka/status/1493344897222381568,"['pakar', 'tetap', 'waspada', 'varian', 'omicron', 'meski', 'gejala', 'ringan']",1
1644204369000.0,2022-02-07 10:26:09,1402456589613686784,Mbok_Ewett,Lilis Mbok Ewett,besok anaknya disebut dengan delmicron terus punya varian baru lagi megatron habis itu cybertron dan mereka adalah kluarga bahagia transformers,https://twitter.com/Mbok_Ewett/status/1490527273895985152,"['besok', 'anak', 'sebut', 'dengan', 'delmicron', 'terus', 'punya', 'varian', 'baru', 'lagi', 'megatron', 'habis', 'itu', 'cybertron', 'dan', 'mereka', 'adalah', 'kluarga', 'bahagia', 'transformers']",0
1644039578000.0,2022-02-05 12:39:38,1407926928397389828,arini_rizka,Rizka Arini,hamil tujuh bulan siti badriah positif covid varian omicron,https://twitter.com/arini_rizka/status/1489836089787707392,"['hamil', 'tujuh', 'bulan', 'siti', 'badriah', 'positif', 'covid', 'varian', 'omicron']",1
1643917514000.0,2022-02-04 02:45:14,499643600,jiunk_,ung,kemaren sempet bocor ada varian lanjutan delmicron namanya udah gausah gimmick peringatan emang settingan aja,https://twitter.com/jiunk_/status/1489324116653998083,"['kemarin', 'sempet', 'bocor', 'ada', 'varian', 'lanjut', 'delmicron', 'nama', 'udah', 'gausah', 'gimmick', 'ingat', 'emang', 'settingan', 'aja']",0
1643615572000.0,2022-01-31 14:52:52,236214632,AbuyPrat,Mohamad Agfar P,baru naik kasus omicron skrg udah ada lagi aja fusion delta omicron jadi delmicron nanti ada lagi varian megatron polytron,https://twitter.com/AbuyPrat/status/1488057678949920769,"['baru', 'naik', 'kasus', 'omicron', 'sekarang', 'udah', 'ada', 'lagi', 'aja', 'fusion', 'delta', 'omicron', 'jadi', 'delmicron', 'nanti', 'ada', 'lagi', 'varian', 'megatron', 'polytron']",0
1643611097000.0,2022-01-31 13:38:17,115544400,digimonbaik,Patamon,varian baru delmicron,https://twitter.com/digimonbaik/status/1488038912773689353,"['varian', 'baru', 'delmicron']",0
